编号,标准问题,答案,所属分类
223,人民检察院应如何依法支持承办法律援助案件的律师办案？,人民检察院应当依法支持承办法律援助案件的律师开展工作，告知律师犯罪嫌疑人涉嫌的罪名，依法安排律师会见在押的犯罪嫌疑人，为律师向犯罪嫌疑人提供法律咨询以及代理申诉、控告，为在押的犯罪嫌疑人申请取保候审等提供必要的便利条件。在审查起诉阶段，人民检察院应当为承办法律援助案件的律师查阅、摘抄、复制案件的诉讼文书、技术性鉴定材料以及同在押的犯罪嫌疑人会见和通信提供便利条件。人民检察院审查案件，应当听取承办法律援助案件的律师的意见。在提起公诉或者做出不起诉决定后，人民检察院应当在五日内将案件办理结果告知承办法律援助案件的律师。人民检察院对承办法律援助案件的律师复制必要的相关材料的费用应当予以免收或者减收，减收的标准按复制材料所必需的工本费用计算。人民检察院在办案过程中发现律师违反职业道德和执业纪律，损害受援人利益的，应当及时向作出指派的法律援助机构通报有关情况。第二十部分国家刑事赔偿规定,检务公开
224,什么是刑事赔偿？,刑事赔偿，是指人民检察院受理赔偿请求人以检察机关或者检察机关工作人员违法行使职权，侵害公民、法人或者其他组织合法权益为由而提出的赔偿请求，决定是否赔偿和如何赔偿的审理工作。人民检察院设立刑事赔偿工作办公室，负责检察机关的刑事赔偿工作。,检务公开
225,检察机关及其工作人员在行使职权时出现何种情形，受害人有获得赔偿的权利？,检察机关及其工作人员在行使职权时有下列五种情形之一的，受害人有获得赔偿的权利：对没有犯罪事实或者没有事实证明有重大犯罪嫌疑的人错误拘留的；对没有犯罪事实的人错误逮捕的；刑讯逼供或者以殴打等暴力行为，或者唆使他人以殴打等暴力行为造成公民身体伤害或者死亡的；违法使用武器、警械造成公民身体伤害或者死亡的；违法对财产采取查封、扣押、冻结、追缴等措施的。,检务公开
226,检察机关不承担赔偿义务的情形有哪些？,有下列六种情形之一的，检察机关不承担赔偿义务：因公民自己故意作虚假供述，或者伪造其他有罪证据被羁押或者被判处刑罚的；依照《刑法》第十七条、第十八条规定不负刑事责任的人被羁押的；依照《刑事诉讼法》第十五条规定不追究刑事责任的人被羁押的；行使国家侦查、检察审判、监狱管理职权的机关的工作人员与行使职权无关的个人行为；因公民自伤、自残等故意行为致使损害发生的；法律规定的其他情形。,检务公开
227,赔偿请求人提出赔偿申请的条件是什么？,赔偿请求人以人民检察院及其工作人员在行使职权过程中侵犯其合法权益造成损害为由，向侵权机关提出赔偿请求的，必须是被侵权事项依法经过确认的。赔偿请求人要求确认其被侵权事项的，应当以书面形式向负有赔偿义务的人民检察院提出。书写确有困难的，可以委托他人代为书写，也可以口头申请，由赔偿义务机关记人笔录。人民检察院对赔偿请求人确认其被侵权事项的申请必须受理。,检务公开
228,确认并进入赔偿程序需要哪些法律文书或证明材有下列法律文书或证明材料的赔偿申请，请求赔偿的违法侵犯人身权情形，以确认论，应当进人赔偿程序：人民检察院撤销拘留决定书；人民检察院撤销逮捕决定书；人民检察院撤销案件决定书；人民检察院不起诉决定书；人民检察院予以纠正的复查决定书；公安机关撤销案件后予以释放的证明书；人民法院宣告无罪已经发生法律效力的刑事判决书、裁定书；对检察机关工作人员在行使职权中刑讯逼供，或者以殴打等暴力行为，或者唆使他人以殴打等暴力行为造成公民身体伤害、死亡，做出处理决定的文书；对违法使用武器、警械造成公民身体伤害、死亡，做出处理决定的文书。,,检务公开
229,人民检察院对哪些情形的逮捕、拘留决定有无侵犯人身权依法进行确认？,证据不足的撤销案件、不起诉案件或者判决无罪的案件，应当由人民检察院分别下列情形对检察机关做出的逮捕、拘留决定有无侵犯人身权情形依法进行确认：一是对不能证明有犯罪事实或者不能证明有犯罪重大嫌疑的人错误拘留的，予以确认；二是对不能证明有犯罪事实的人错误逮捕的，予以确认；是对有证据证明有部分犯罪事实的人拘留、逮捕，或者有证据证明有犯罪重大嫌疑的人拘留的，不予确认。,检务公开
230,请求返还被人民检察院查封、扣押、冻结、追缴的财产的赔偿请求需要确认有无违法侵犯财产权的情形有哪些？,请求返还被人民检察院查封、扣押、冻结、追缴的财产的赔偿请求需要确认有无违法侵犯财产权的情形有四种：一是人民检察院撤销案件决定书、不起诉决定书、复查纠正决定书及人民法院宣告无罪发生法律效力的判决书、裁定书，对查封、扣押、冻结、追缴的财产做出返还当事人决定的，或者具有对采取查封、扣押、冻结、追缴财产等措施认定为违法的法律文书的，以确认论；二是没有履行必要的法律手续，查封、扣押、冻结、追缴当事人财产的，予以确认；三是有证据证明查封、扣押冻追缴的财产为当事人个人合法财产的，予以确认；四是有证据证明查封、扣押、冻结、追缴的财产属于违法所得的，不予确认。,检务公开
231,人民检察院办理刑事赔偿案件程序有哪些具体要人民检察院办理刑事赔偿案件程序的具体要求有四个方面：一是对于要求确认有《国家赔偿法》相关规定情形之一的，应由刑事赔偿工作办公室按照人民检察院内部的业务分工，将相关材料转交有关部门，有关部门应在两个月内提出违法侵权情形是否存在的书面意见，移送刑事赔偿工作办公室。刑事赔偿工作办公室审查并报检察长或者检察委员会决定后，制作《人民检察院刑事确认书》，送达赔偿请求人。二是在刑事赔偿案件受理阶段或者复议阶段发现原确认可能错误的，由刑事赔偿工作办公室提出书面审查意见，报检察长或者检察委员会决定后，通知案件原承办机关或者部门重新审查。刑事赔偿工作办公室应同时制作《人民检察院重新确认通知书》，送达赔偿请求人。三是地方各级人民检察院和专门人民检察院办理本院为赔偿义务机关的刑事赔偿确认案件，对赔偿请求人要求确认的全部或者部分违法侵权事项，拟作不予确认决定的，应当报请上一级人民检察院批准。上一级人民检察院应当在收到案件二十日以内做出是否同意不予确认的决定，并书面批复下级人民检察院；对于重大复杂的刑事赔偿确认案件，审查批准的时间可以延长十日。下级人民检察院接到上一级人民检察院的批复后，应当在七日以内依据批复做出决定，并报上一级人民检察院备案。四是上一级人民检察院发现下级人民检察院对应当依法进行刑事赔偿确认的案件不依法受理或者受理后不及时做出刑事赔偿确认决定的，应当责令下级人民检察院受理，及时做出刑事赔偿确认决定。,,检务公开
232,刑事赔偿申请必须同时具备哪些条件才能立案？,赔偿请求人提出赔偿申请，应当递交赔偿申请书，同时符合下列条件的刑事赔偿申请，应当立案：请求赔偿的违法侵权情形已经依法确认，检察机关为赔偿义务机关，本院负有赔偿义务，赔偿请求人具备《国家赔偿法》第六条规定的条件，符合《国家赔偿法》第三十二条规定的请求赔偿时效，请求赔偿的材料齐备。对符合立案条件的赔偿申请，负有赔偿义务的人民检察院应当在收到赔偿申请之日起七日内立案，制作《人民检察院刑事赔偿立案决定书》，并通知赔偿请求人。,检务公开
233,人民检察院对不符合立案条件的赔偿申请应如何处理？,对不符合立案条件的赔偿申请，人民检察院应分别下列不同情况予以处理：．未经依法确认的，告知赔偿请求人先向有侵权情形的机关请求确认。不属于人民检察院赔偿的，告知赔偿请求人向负有赔偿义务的机关提出。．本院不负有赔偿义务的，告知赔偿请求人向负有赔偿义务的人民检察院提出，或者移送负有赔偿义务的人民检察院，并通知赔偿请求人。.赔偿请求人不具备《国家赔偿法》第六条规定条件的，告知赔偿请求人。．对赔偿请求已过法定时效的，告知赔偿请求人已经丧失请求赔偿权。.对材料不齐备的，告知赔偿请求人补充有关材料。对上列事项，均应在收到赔偿申请之日起七日内填写《人民检察院审查刑事赔偿申请通知书》，送达赔偿请求人。,检务公开
234,人民检察院办理刑事赔偿案件期限有何要求？,人民检察院办理刑事赔偿案件应当自受理赔偿申请之日起两个月内做出决定，制作《人民检察院刑事赔偿决定书》，送达赔偿请求人。受理赔偿申请的时间应当自材料补充齐备之日起计算。,检务公开
235,赔偿请求人申请复议期限和复议机关复议期限是如何规定的？,赔偿请求人对赔偿义务机关逾期不予赔偿、决定不予刑事赔偿或者对决定的数额有异议的，可以自期间届满之日起三十日内向上一级人民检察院申请复议。复议机关应当自收到复议申请之日起两个月内做出复议决定。复议决定做出后，应当制作《刑事赔偿复议决定书》，直接送达赔偿义务机关和赔偿请求人。直接送达赔偿请求人有困难的，可以委托其所在地的人民检察院代为送达。人民检察院复议刑事赔偿案件，实行一次复议制。,检务公开
236,复议机关收到复议申请后应如何办理？,复议机关收到复议申请后应全面进行审查，分别下列情况予以处理：对符合法定条件的复议申请，复议机关应予受理；对超过法定期间提出的，复议机关不予受理；对申请复议的材料不齐备的，告知赔偿请求人补充有关材料。复议机关复议后，应分别不同情况做出决定：原决定事实清楚，适用法律正确，赔偿方式、数额适当的，予以维持；原决定认定事实或适用法律错误的，予以纠正，赔偿方式、数额不当的，予以变更；赔偿义务机关逾期未做出决定的，依法做出决定。,检务公开
237,人民检察院应如何执行刑事赔偿决定？,负有赔偿义务的人民检察院负责刑事赔偿决定的执行。支付赔偿金的，由刑事赔偿工作办公室办理；返还财产或者恢复原状的，由刑事赔偿工作办公室通知原案件承办部门执行。对有《国家赔偿法》第十五条第（一）、（二）项规定的情形之一并造成受害人名誉权、荣誉权损害的，负有赔偿义务的人民检察院应当在侵权行为影响的范围内，为受害人消除影响，恢复名誉，赔礼道歉。,检务公开
238,刑事赔偿决定执行期限有哪些要求？,赔偿义务机关做出赔偿决定后，赔偿请求人在《国家赔偿法》规定的期间内未向上一级人民检察院申请复议的，即应执行。复议机关做出复议决定后，赔偿请求人自收到复议决定之日起三十日内未向人民法院赔偿委员会提出申请的，赔偿义务机关即应执行，并将执行情况报告复议机关。,检务公开
239,赔偿义务机关如果认为人民法院赔偿委员会的决定确有错误应如何处理？,经人民检察院依法确认有违法侵权情形存在，人民法院赔偿委员会做出赔偿决定的，负有赔偿义务的人民检察院应当执行。赔偿义务机关如果认为人民法院赔偿委员会的赔偿决定确有错误，可以向做出赔偿决定的人民法院的上一级人民法院提出确有错误的事实和理由，并向上一级人民检察院报告，上一级人民检察院或者省级人民检察院可以向同级人民法院赔偿委员会提出建议。,检务公开
